from,to,distance,accessible
stair_ff_2,stair_ff_1,103.54,true
stair_ff_2,stair_ff_6,96.07,true
stair_ff_2,stair_ff_3,113.25,true
stair_ff_2,room_ff_5,108.14,true
stair_ff_2,room_ff_6,89.95,true
stair_ff_2,room_ff_7,83.52,true
stair_ff_2,room_ff_8,67.48,true
stair_ff_2,room_ff_9,74.7,true
stair_ff_2,room_ff_10,46.87,true
stair_ff_2,corridor_ff_3,104.96,true
stair_ff_2,corridor_ff_4,84.93,true
stair_ff_2,corridor_ff_5,53.85,true
stair_ff_2,corridor_ff_6,35.89,true
stair_ff_2,room_ff_12,113.69,true
stair_ff_2,stair_ff_15,70.38,true
stair_ff_2,room_ff_13,82.88,true
stair_ff_2,room_ff_14,82.89,true
stair_ff_2,room_ff_15,88.98,true
stair_ff_2,room_ff_16,102.92,true
stair_ff_2,room_ff_17,47.49,true
stair_ff_2,corridor_ff_7,67.82,true
stair_ff_2,corridor_ff_8,98.6,true
stair_ff_2,corridor_ff_9,40.27,true
stair_ff_2,corridor_ff_10,80.37,true
stair_ff_2,room_ff_18,28.61,true
stair_ff_2,room_ff_19,60.36,true
stair_ff_2,room_ff_20,14.78,true
stair_ff_2,room_ff_21,23.44,true
stair_ff_2,room_ff_22,47.54,true
stair_ff_2,room_ff_23,44.7,true
stair_ff_2,corridor_ff_11,51.39,true
stair_ff_2,room_ff_24,56.06,true
stair_ff_2,corridor_ff_12,72.35,true
stair_ff_2,corridor_ff_13,16.86,true
stair_ff_2,corridor_ff_14,20.55,true
stair_ff_2,corridor_ff_15,54.06,true
stair_ff_2,room_ff_25,15.87,true
stair_ff_2,room_ff_26,65.58,true
stair_ff_2,room_ff_28,85.76,true
stair_ff_2,corridor_ff_16,79.02,true
stair_ff_2,room_ff_27,103.38,true
stair_ff_2,room_ff_29,87.22,true
stair_ff_2,room_ff_31,109.13,true
stair_ff_2,corridor_ff_17,95.91,true
stair_ff_2,corridor_ff_18,114.96,true
stair_ff_2,lift_ff,45.82,true
stair_ff_2,corridor_ff_24,101.31,true
stair_ff_2,corridor_ff_25,113.7,true
stair_ff_2,room_ff_43,100.69,true
stair_ff_2,room_ff_41,117.27,true
stair_ff_2,room_ff_42,108.45,true
stair_ff_2,corridor_ff_29,107.73,true
stair_ff_2,corridor_ff_26,117.97,true
stair_ff_2,room_ff_52,119.49,true
stair_ff_2,stair_ff_5,35.52,true
stair_ff_1,stair_ff_19,70.94,true
stair_ff_1,room_ff_1,53.35,true
stair_ff_1,room_ff_2,43.99,true
stair_ff_1,room_ff_3,35.38,true
stair_ff_1,room_ff_4,24.34,true
stair_ff_1,room_ff_5,26.95,true
stair_ff_1,room_ff_6,13.98,true
stair_ff_1,room_ff_7,32.47,true
stair_ff_1,room_ff_8,37.6,true
stair_ff_1,room_ff_9,40.64,true
stair_ff_1,room_ff_10,59.92,true
stair_ff_1,corridor_ff_1,60.45,true
stair_ff_1,corridor_ff_2,25.42,true
stair_ff_1,corridor_ff_3,8.03,true
stair_ff_1,corridor_ff_4,22.73,true
stair_ff_1,corridor_ff_5,56.72,true
stair_ff_1,corridor_ff_6,81.48,true
stair_ff_1,room_ff_11,75.97,true
stair_ff_1,room_ff_12,10.17,true
stair_ff_1,stair_ff_15,88.21,true
stair_ff_1,room_ff_13,108.12,true
stair_ff_1,corridor_ff_7,93.72,true
stair_ff_1,room_ff_20,118.15,true
stair_ff_1,corridor_ff_11,59.66,true
stair_ff_1,corridor_ff_13,90.83,true
stair_ff_1,room_ff_25,99.19,true
stair_ff_1,lift_ff,92.09,true
stair_ff_1,room_ff_42,118.67,true
stair_ff_1,room_ff_45,113.66,true
stair_ff_1,room_ff_55,114.28,true
stair_ff_1,stair_ff_5,84.66,true
stair_ff_1,stair_ff_11,113.22,true
stair_ff_7,stair_ff_8,114.34,true
stair_ff_7,stair_ff_18,69.67,true
stair_ff_7,stair_ff_6,95.52,true
stair_ff_7,room_ff_16,106.43,true
stair_ff_7,corridor_ff_8,86.6,true
stair_ff_7,corridor_ff_10,75.34,true
stair_ff_7,room_ff_19,93.45,true
stair_ff_7,room_ff_22,107.26,true
stair_ff_7,room_ff_23,107.27,true
stair_ff_7,room_ff_24,96.46,true
stair_ff_7,corridor_ff_12,82.85,true
stair_ff_7,corridor_ff_15,100.49,true
stair_ff_7,room_ff_26,92.74,true
stair_ff_7,room_ff_28,90.08,true
stair_ff_7,corridor_ff_16,96.46,true
stair_ff_7,room_ff_27,54.94,true
stair_ff_7,room_ff_29,65.71,true
stair_ff_7,room_ff_30,34.28,true
stair_ff_7,room_ff_31,42.87,true
stair_ff_7,room_ff_32,16.43,true
stair_ff_7,room_ff_33,20.41,true
stair_ff_7,room_ff_34,20.92,true
stair_ff_7,room_ff_35,29.17,true
stair_ff_7,room_ff_36,37.54,true
stair_ff_7,room_ff_37,60.57,true
stair_ff_7,room_ff_38,51.37,true
stair_ff_7,room_ff_39,83.17,true
stair_ff_7,room_ff_40,18.3,true
stair_ff_7,corridor_ff_17,58.74,true
stair_ff_7,corridor_ff_18,39.27,true
stair_ff_7,corridor_ff_19,17.05,true
stair_ff_7,corridor_ff_20,11.47,true
stair_ff_7,corridor_ff_21,32.68,true
stair_ff_7,corridor_ff_22,52.77,true
stair_ff_7,corridor_ff_23,78.68,true
stair_ff_7,room_ff_60,115.85,true
stair_ff_7,room_ff_61,118.25,true
stair_ff_7,room_ff_68,114.78,true
stair_ff_7,room_ff_69,117.33,true
stair_ff_9,stair_ff_8,96.97,true
stair_ff_9,stair_ff_14,107.79,true
stair_ff_9,room_ff_58,114.04,true
stair_ff_9,room_ff_62,72.92,true
stair_ff_9,room_ff_63,36.28,true
stair_ff_9,room_ff_64,72.78,true
stair_ff_9,room_ff_65,36.57,true
stair_ff_9,room_ff_66,12.95,true
stair_ff_9,room_ff_67,12.0,true
stair_ff_9,room_ff_68,104.3,true
stair_ff_9,corridor_ff_38,116.08,true
stair_ff_9,corridor_ff_39,96.72,true
stair_ff_9,room_ff_69,82.67,true
stair_ff_9,corridor_ff_40,75.99,true
stair_ff_9,corridor_ff_41,35.07,true
stair_ff_9,corridor_ff_42,9.46,true
stair_ff_9,corridor_ff_43,84.94,true
stair_ff_9,corridor_ff_44,106.03,true
stair_ff_9,room_ff_71,107.73,true
stair_ff_9,corridor_ff_49,106.94,true
stair_ff_8,stair_ff_6,88.16,true
stair_ff_8,stair_ff_4,96.24,true
stair_ff_8,room_ff_28,99.6,true
stair_ff_8,corridor_ff_16,105.6,true
stair_ff_8,room_ff_33,118.03,true
stair_ff_8,room_ff_40,113.83,true
stair_ff_8,corridor_ff_33,101.26,true
stair_ff_8,corridor_ff_34,86.38,true
stair_ff_8,corridor_ff_35,89.83,true
stair_ff_8,room_ff_100,76.58,true
stair_ff_8,room_ff_56,57.03,true
stair_ff_8,room_ff_57,48.86,true
stair_ff_8,room_ff_58,27.01,true
stair_ff_8,room_ff_59,55.2,true
stair_ff_8,room_ff_60,54.84,true
stair_ff_8,room_ff_61,45.8,true
stair_ff_8,room_ff_62,25.69,true
stair_ff_8,room_ff_63,61.67,true
stair_ff_8,room_ff_64,25.93,true
stair_ff_8,room_ff_65,62.0,true
stair_ff_8,room_ff_66,87.48,true
stair_ff_8,room_ff_67,87.58,true
stair_ff_8,corridor_ff_36,55.2,true
stair_ff_8,corridor_ff_37,45.54,true
stair_ff_8,room_ff_68,8.67,true
stair_ff_8,corridor_ff_38,24.68,true
stair_ff_8,corridor_ff_39,9.41,true
stair_ff_8,room_ff_69,16.29,true
stair_ff_8,corridor_ff_40,20.98,true
stair_ff_8,corridor_ff_41,61.91,true
stair_ff_8,corridor_ff_42,87.51,true
stair_ff_8,corridor_ff_43,22.81,true
stair_ff_8,corridor_ff_44,69.16,true
stair_ff_8,corridor_ff_45,117.06,true
stair_ff_13,stair_ff_14,71.5,true
stair_ff_13,corridor_ff_44,117.54,true
stair_ff_13,corridor_ff_45,69.4,true
stair_ff_13,corridor_ff_46,32.74,true
stair_ff_13,corridor_ff_47,15.44,true
stair_ff_13,room_ff_70,27.29,true
stair_ff_13,room_ff_71,64.03,true
stair_ff_13,room_ff_72,50.86,true
stair_ff_13,room_ff_73,42.7,true
stair_ff_13,room_ff_74,17.98,true
stair_ff_13,room_ff_75,7.31,true
