from,to,distance,accessible
room_gf_151,stair_gf_1,83.99,true
room_gf_151,stair_gf_3,101.76,true
room_gf_151,stair_gf_5,102.03,true
room_gf_151,lift_gf,94.48,true
room_gf_151,stair_gf_11,16.18,true
room_gf_151,stair_gf_16,47.12,true
room_gf_151,entrance_2,82.45,true
room_gf_151,entrance_3,106.83,true
room_gf_151,entrance_10,118.56,true
room_gf_151,corridor_gf_1,115.71,true
room_gf_151,corridor_gf_2,99.61,true
room_gf_151,corridor_gf_19,101.2,true
room_gf_151,corridor_gf_20,60.02,true
room_gf_151,corridor_gf_21,94.76,true
room_gf_151,corridor_gf_22,55.0,true
room_gf_151,corridor_gf_23,54.08,true
room_gf_151,corridor_gf_24,8.46,true
room_gf_151,corridor_gf_25,90.06,true
room_gf_151,corridor_gf_27,100.91,true
room_gf_151,corridor_gf_38,110.78,true
room_gf_151,corridor_gf_39,102.35,true
room_gf_151,corridor_gf_40,101.27,true
room_gf_151,corridor_gf_43,68.24,true
room_gf_151,corridor_gf_44,49.85,true
room_gf_151,corridor_gf_45,28.98,true
room_gf_151,corridor_gf_46,17.27,true
room_gf_151,corridor_gf_47,36.4,true
room_gf_152,stair_gf_4,106.04,true
room_gf_152,stair_gf_6,90.8,true
room_gf_152,stair_gf_7,83.02,true
room_gf_152,stair_gf_8,15.39,true
room_gf_152,stair_gf_9,66.17,true
room_gf_152,stair_gf_18,118.28,true
room_gf_152,entrance_17,108.22,true
room_gf_152,entrance_16,63.2,true
room_gf_152,entrance_15,86.19,true
room_gf_152,entrance_9,116.55,true
room_gf_152,corridor_gf_6,97.67,true
room_gf_152,corridor_gf_7,116.77,true
room_gf_152,corridor_gf_160,91.25,true
room_gf_152,corridor_gf_9,6.84,true
room_gf_152,corridor_gf_10,56.68,true
room_gf_152,corridor_gf_11,80.56,true
room_gf_152,corridor_gf_12,116.28,true
room_gf_152,corridor_gf_30,119.77,true
room_gf_152,corridor_gf_31,111.63,true
room_gf_152,corridor_gf_32,103.19,true
room_gf_152,corridor_gf_33,102.16,true
room_gf_152,corridor_gf_41,100.38,true
room_gf_152,corridor_gf_42,89.35,true
