from,to,distance,accessible
Room_SF_3,Corridor_SF_39,104.91,true
Room_SF_3,Corridor_SF_40,57.95,true
Room_SF_3,Corridor_SF_41,33.87,true
Room_SF_3,Corridor_SF_42,10.63,true
Room_SF_3,stair_sf_11,74.2,true
Room_SF_3,lift_sf,63.57,true
Room_SF_3,corridor_sf_7,119.95,true
Room_SF_3,corridor_sf_9,110.35,true
Room_SF_3,corridor_sf_10,84.04,true
Room_SF_3,corridor_sf_11,66.07,true
Room_SF_3,corridor_sf_12,22.19,true
Room_SF_3,corridor_sf_13,35.5,true
Room_SF_3,stair_sf_5,76.26,true
Room_SF_3,stair_sf_4,113.73,true
Room_SF_3,stair_sf_3,37.49,true
Room_SF_4,Corridor_SF_38,112.39,true
Room_SF_4,Corridor_SF_39,89.94,true
Room_SF_4,Corridor_SF_40,43.75,true
Room_SF_4,Corridor_SF_41,20.4,true
Room_SF_4,Corridor_SF_42,9.61,true
Room_SF_4,stair_sf_11,62.51,true
Room_SF_4,lift_sf,81.64,true
Room_SF_4,corridor_sf_10,102.79,true
Room_SF_4,corridor_sf_11,85.21,true
Room_SF_4,corridor_sf_12,34.33,true
Room_SF_4,corridor_sf_13,37.77,true
Room_SF_4,stair_sf_5,93.47,true
Room_SF_4,stair_sf_3,43.51,true
Room_SF_6,Corridor_SF_38,86.93,true
Room_SF_6,Corridor_SF_39,64.49,true
Room_SF_6,Corridor_SF_40,19.27,true
Room_SF_6,Corridor_SF_41,10.57,true
Room_SF_6,Corridor_SF_42,33.11,true
Room_SF_6,stair_sf_11,39.14,true
Room_SF_6,lift_sf,94.57,true
Room_SF_6,corridor_sf_10,116.4,true
Room_SF_6,corridor_sf_11,100.3,true
Room_SF_6,corridor_sf_12,59.76,true
Room_SF_6,corridor_sf_13,61.92,true
Room_SF_6,stair_sf_5,104.22,true
Room_SF_6,stair_sf_3,68.4,true
Room_SF_6,stair_sf_16,99.01,true
Room_SF_8,Corridor_SF_38,78.13,true
Room_SF_8,Corridor_SF_39,55.52,true
Room_SF_8,Corridor_SF_40,10.96,true
Room_SF_8,Corridor_SF_41,17.13,true
Room_SF_8,Corridor_SF_42,41.7,true
Room_SF_8,stair_sf_11,31.0,true
Room_SF_8,lift_sf,99.3,true
Room_SF_8,corridor_sf_11,105.65,true
Room_SF_8,corridor_sf_12,68.61,true
Room_SF_8,corridor_sf_13,70.87,true
Room_SF_8,stair_sf_5,108.13,true
Room_SF_8,stair_sf_3,77.39,true
Room_SF_8,stair_sf_16,90.34,true
Room_SF_5,Corridor_SF_38,91.26,true
Room_SF_5,Corridor_SF_39,67.27,true
Room_SF_5,Corridor_SF_40,21.03,true
Room_SF_5,Corridor_SF_41,9.41,true
Room_SF_5,Corridor_SF_42,31.99,true
Room_SF_5,stair_sf_11,35.91,true
Room_SF_5,lift_sf,81.0,true
Room_SF_5,corridor_sf_10,102.8,true
Room_SF_5,corridor_sf_11,87.6,true
Room_SF_5,corridor_sf_12,59.15,true
Room_SF_5,corridor_sf_13,66.12,true
Room_SF_5,stair_sf_5,89.71,true
Room_SF_5,stair_sf_3,71.19,true
Room_SF_5,stair_sf_16,104.02,true
Room_SF_7,Corridor_SF_38,82.03,true
Room_SF_7,Corridor_SF_39,57.97,true
Room_SF_7,Corridor_SF_40,12.42,true
Room_SF_7,Corridor_SF_41,15.85,true
Room_SF_7,Corridor_SF_42,40.73,true
Room_SF_7,stair_sf_11,26.82,true
Room_SF_7,lift_sf,88.25,true
Room_SF_7,corridor_sf_10,109.92,true
Room_SF_7,corridor_sf_11,95.34,true
Room_SF_7,corridor_sf_12,68.08,true
Room_SF_7,corridor_sf_13,74.01,true
Room_SF_7,stair_sf_5,96.14,true
Room_SF_7,stair_sf_3,79.49,true
Room_SF_7,stair_sf_16,94.85,true
Room_SF_12,Corridor_SF_38,10.94,true
Room_SF_12,Corridor_SF_39,19.4,true
Room_SF_12,Corridor_SF_40,66.29,true
Room_SF_12,Corridor_SF_41,90.56,true
Room_SF_12,Corridor_SF_42,116.17,true
Room_SF_12,stair_sf_11,51.99,true
Room_SF_12,stair_sf_16,22.24,true
Room_SF_11,Corridor_SF_38,29.14,true
Room_SF_11,Corridor_SF_39,32.03,true
Room_SF_11,Corridor_SF_40,61.41,true
Room_SF_11,Corridor_SF_41,82.46,true
Room_SF_11,Corridor_SF_42,105.7,true
Room_SF_11,stair_sf_11,57.97,true
Room_SF_11,stair_sf_16,34.48,true
Room_SF_10,Corridor_SF_38,45.36,true
Room_SF_10,Corridor_SF_39,29.92,true
Room_SF_10,Corridor_SF_40,35.0,true
Room_SF_10,Corridor_SF_41,55.15,true
Room_SF_10,Corridor_SF_42,78.54,true
Room_SF_10,stair_sf_11,36.99,true
Room_SF_10,corridor_sf_12,104.23,true
Room_SF_10,corridor_sf_13,102.65,true
Room_SF_10,stair_sf_3,110.16,true
Room_SF_10,stair_sf_16,55.8,true
Room_SF_28,Room_SF_23,101.04,true
Room_SF_28,Corridor_SF_44,119.1,true
Room_SF_28,Corridor_SF_56,66.09,true
Room_SF_28,Corridor_SF_57,37.93,true
Room_SF_28,Corridor_SF_58,22.77,true
Room_SF_28,Corridor_SF_59,26.88,true
Room_SF_28,Corridor_SF_60,45.98,true
Room_SF_28,Corridor_SF_61,69.97,true
Room_SF_28,Corridor_SF_62,93.2,true
Room_SF_28,Corridor_SF_43,119.34,true
Room_SF_28,stair_sf_8,117.08,true
Room_SF_28,stair_sf_7,40.18,true
Room_SF_28,corridor_sf_2,98.0,true
Room_SF_28,corridor_sf_3,52.55,true
Room_SF_28,corridor_sf_4,50.1,true
Room_SF_28,corridor_sf_5,57.31,true
Room_SF_28,corridor_sf_6,69.52,true
Room_SF_28,stair_sf_15,76.09,true
Room_SF_28,stair_sf_18,110.14,true
Room_SF_28,stair_sf_6,72.13,true
Room_SF_21,Room_SF_23,88.83,true
Room_SF_21,Corridor_SF_42,115.58,true
Room_SF_21,Corridor_SF_50,110.49,true
Room_SF_21,Corridor_SF_51,84.58,true
Room_SF_21,Corridor_SF_52,60.33,true
Room_SF_21,Corridor_SF_53,38.46,true
Room_SF_21,Corridor_SF_54,24.08,true
Room_SF_21,Corridor_SF_55,30.18,true
Room_SF_21,Corridor_SF_56,95.4,true
Room_SF_21,corridor_sf_2,64.79,true
