from,to,distance,accessible
Room_TF_1,stair_tf_1,70.3,true
Room_TF_1,lift_tf,43.23,true
Room_TF_1,Corridor_TF_26,101.85,true
Room_TF_1,Corridor_TF_29,58.15,true
Room_TF_1,Corridor_TF_30,37.66,true
Room_TF_1,Corridor_TF_31,17.78,true
Room_TF_1,Corridor_TF_32,10.38,true
Room_TF_1,Corridor_TF_33,23.32,true
Room_TF_1,Corridor_TF_34,48.57,true
Room_TF_1,stair_tf_5,65.27,true
Room_TF_1,stair_tf_19,115.68,true
Room_TF_1,corridor_tf_1,77.57,true
Room_TF_2,stair_tf_1,47.04,true
Room_TF_2,lift_tf,56.91,true
Room_TF_2,Corridor_TF_26,79.42,true
Room_TF_2,Corridor_TF_29,35.09,true
Room_TF_2,Corridor_TF_30,15.4,true
Room_TF_2,Corridor_TF_31,10.29,true
Room_TF_2,Corridor_TF_32,30.58,true
Room_TF_2,Corridor_TF_33,45.93,true
Room_TF_2,Corridor_TF_34,69.6,true
Room_TF_2,stair_tf_5,74.59,true
Room_TF_2,stair_tf_19,93.35,true
Room_TF_2,corridor_tf_1,54.88,true
Room_TF_3,stair_tf_1,26.19,true
Room_TF_3,lift_tf,72.89,true
Room_TF_3,Corridor_TF_26,60.29,true
Room_TF_3,Corridor_TF_29,15.4,true
Room_TF_3,Corridor_TF_30,10.63,true
Room_TF_3,Corridor_TF_31,29.17,true
Room_TF_3,Corridor_TF_32,51.09,true
Room_TF_3,Corridor_TF_33,66.45,true
Room_TF_3,Corridor_TF_34,89.12,true
Room_TF_3,stair_tf_5,86.79,true
Room_TF_3,stair_tf_19,74.23,true
Room_TF_3,corridor_tf_1,35.62,true
Room_TF_4,stair_tf_1,16.83,true
Room_TF_4,lift_tf,111.89,true
Room_TF_4,Corridor_TF_26,21.94,true
Room_TF_4,Corridor_TF_29,25.44,true
Room_TF_4,Corridor_TF_30,46.15,true
Room_TF_4,Corridor_TF_31,66.97,true
Room_TF_4,Corridor_TF_32,89.25,true
Room_TF_4,Corridor_TF_33,106.42,true
Room_TF_4,stair_tf_19,35.27,true
Room_TF_4,corridor_tf_1,8.9,true
Room_TF_5,stair_tf_1,44.51,true
Room_TF_5,Corridor_TF_26,9.53,true
Room_TF_5,Corridor_TF_29,52.59,true
Room_TF_5,Corridor_TF_30,72.57,true
Room_TF_5,Corridor_TF_31,93.02,true
Room_TF_5,Corridor_TF_32,114.99,true
Room_TF_5,stair_tf_19,8.68,true
Room_TF_5,corridor_tf_1,32.66,true
Room_TF_6,stair_tf_1,37.79,true
Room_TF_6,Corridor_TF_26,8.74,true
Room_TF_6,Corridor_TF_29,41.03,true
Room_TF_6,Corridor_TF_30,59.08,true
Room_TF_6,Corridor_TF_31,78.67,true
Room_TF_6,Corridor_TF_32,100.08,true
Room_TF_6,Corridor_TF_33,119.6,true
Room_TF_6,stair_tf_19,20.13,true
Room_TF_6,corridor_tf_1,21.34,true
Room_TF_7,stair_tf_1,22.31,true
Room_TF_7,lift_tf,107.21,true
Room_TF_7,Corridor_TF_26,27.98,true
Room_TF_7,Corridor_TF_29,19.57,true
Room_TF_7,Corridor_TF_30,36.74,true
Room_TF_7,Corridor_TF_31,56.56,true
Room_TF_7,Corridor_TF_32,78.28,true
Room_TF_7,Corridor_TF_33,97.36,true
Room_TF_7,stair_tf_19,41.66,true
Room_TF_7,corridor_tf_1,7.64,true
Room_TF_8,stair_tf_1,43.42,true
Room_TF_8,lift_tf,74.0,true
Room_TF_8,Corridor_TF_26,68.5,true
Room_TF_8,Corridor_TF_29,28.83,true
Room_TF_8,Corridor_TF_30,11.16,true
Room_TF_8,Corridor_TF_31,17.22,true
Room_TF_8,Corridor_TF_32,37.87,true
Room_TF_8,Corridor_TF_33,58.12,true
Room_TF_8,Corridor_TF_34,83.48,true
Room_TF_8,stair_tf_5,92.49,true
Room_TF_8,stair_tf_19,82.05,true
Room_TF_8,corridor_tf_1,45.34,true
Room_TF_9,stair_tf_1,62.0,true
Room_TF_9,lift_tf,62.67,true
Room_TF_9,Corridor_TF_26,88.29,true
Room_TF_9,Corridor_TF_29,47.92,true
Room_TF_9,Corridor_TF_30,27.6,true
Room_TF_9,Corridor_TF_31,10.23,true
Room_TF_9,Corridor_TF_32,18.87,true
Room_TF_9,Corridor_TF_33,40.83,true
Room_TF_9,Corridor_TF_34,66.86,true
Room_TF_9,stair_tf_5,84.03,true
Room_TF_9,stair_tf_19,101.74,true
Room_TF_9,corridor_tf_1,65.21,true
Room_TF_10,stair_tf_1,76.1,true
Room_TF_10,lift_tf,57.75,true
Room_TF_10,Corridor_TF_26,102.76,true
Room_TF_10,Corridor_TF_29,62.26,true
Room_TF_10,Corridor_TF_30,41.65,true
Room_TF_10,Corridor_TF_31,21.71,true
Room_TF_10,Corridor_TF_32,8.59,true
Room_TF_10,Corridor_TF_33,30.55,true
Room_TF_10,Corridor_TF_34,56.33,true
Room_TF_10,Corridor_TF_35,118.56,true
Room_TF_10,stair_tf_5,80.77,true
Room_TF_10,stair_tf_19,116.14,true
Room_TF_10,corridor_tf_1,79.76,true
Room_TF_11,lift_tf,41.71,true
Room_TF_11,Corridor_TF_29,118.61,true
Room_TF_11,Corridor_TF_30,98.92,true
Room_TF_11,Corridor_TF_31,79.61,true
Room_TF_11,Corridor_TF_32,60.38,true
Room_TF_11,Corridor_TF_33,38.6,true
Room_TF_11,Corridor_TF_34,15.03,true
Room_TF_11,Corridor_TF_35,74.38,true
