id,floor,x,y,name,type
room_gf_151,G,175.64575,236.30997,Washroom (PYP 2 Corridor),room
room_gf_152,G,436.75278,237.34317,Washroom (PYP 1 Corridor),room
room_gf_153,G,428.9299,146.71587,Washroom (MYP 1 Corridor),room
room_gf_158,G,435.71954,378.4502,Washroom (KG 1 Corridor),room
room_gf_159,G,174.31734,379.04059,Washroom (KG 2 Corridor),room
stair_gf_1,G,195.42436,154.68636,Staircase 1 (PYP 3 Corridor),stair
stair_gf_4,G,333.87454,263.02582,Staircase 4 (Quadrangle Right),stair
stair_gf_3,G,275.12915,257.71219,Staircase 3 (Quadrangle Left),stair
stair_gf_2,G,281.3284,163.54243,Staircase 2 (Backstage),stair
stair_gf_5,G,261.5498,181.25461,Staircase Main,stair
lift_gf,G,259.1882,192.17712,Lifts,lift
stair_gf_6,G,353.65314,200.73801,Staircase 6,stair
stair_gf_7,G,415.64575,157.04797,Staircase 7 (MYP 1 Corridor),stair
stair_gf_8,G,425.09225,227.30627,Staircase 8 (PYP 1 Corridor),stair
stair_gf_9,G,495.05536,268.63467,Staircase 9 (Wooden Spiral),stair
stair_gf_11,G,186.86346,224.64944,Staircase 11 (PYP 2 Corridor),stair
stair_gf_12,G,185.97786,387.30627,Staircase 12 (KG 2 Corridor),stair
stair_gf_14,G,488.56088,372.25092,Staircase 14 (Pre KG Corridor),stair
stair_gf_13,G,422.43542,399.11438,Staircase 13 (KG 1 Corridor),stair
stair_gf_15,G,354.83395,108.04428,Staircase 15 (ALC),stair
stair_gf_16,G,134.61255,259.4834,Staircase 16 (FM),stair
stair_gf_17,G,134.02214,354.53876,Staircase 17 (GRE),stair
stair_gf_18,G,468.48709,123.39484,Staircase 18 (Art Room),stair
room_gf_1,G,131.95572,117.49078,Inclusion Unit,room
room_gf_2,G,163.83763,114.24355,PYP 3 G,room
room_gf_3,G,149.9631,135.49815,PYP 3 F,room
room_gf_4,G,183.32103,121.91882,PYP 3 D,room
room_gf_5,G,166.49446,141.40221,PYP 3 E,room
room_gf_6,G,214.90775,132.25092,PYP 3 B,room
