id,floor,x,y,name,type
stair_ff_2,1,330.65692,129.927,Staircase 2 (Backstage - First Floor),stair
stair_ff_1,1,229.37956,108.39416,Staircase 1 (PYP 3 Corridor - First Floor),stair
stair_ff_7,1,480.29196,107.29927,Staircase 7 (MYP 1 Corridor,stair
stair_ff_9,1,576.64233,266.05838,Staircase 9 (Wooden Spiral - First Floor),stair
stair_ff_8,1,490.69342,221.16788,Staircase 8 (PYP 1 Corridor - First Floor),stair
stair_ff_13,1,489.41605,404.37955,Staircase 13 (KG 1 Corridor - First Floor),stair
stair_ff_14,1,552.73724,371.16788,Staircase 14 (Pre KG Corridor - First Floor),stair
stair_ff_18,1,544.8905,81.204376,Staircase 18 (Art Room - First Floor),stair
stair_ff_6,1,414.59854,176.64233,Staircase 6 - First Floor,stair
stair_ff_3,1,320.25546,242.70073,Staircase 3 (Quadrangle Left - First Floor),stair
stair_ff_4,1,396.8978,242.70073,Staircase 4 (Quadrangle Right - First Floor),stair
stair_ff_19,1,165.14598,78.284668,Staircase (IU - First Floor),stair
room_ff_1,1,178.06703,93.807777,MYP 4 B,room
room_ff_2,1,197.03505,78.581757,MYP 4 C,room
room_ff_3,1,195.87373,97.03363,MYP 4 A,room
room_ff_4,1,218.0676,86.839935,MYP 3 D,room
room_ff_5,1,233.80975,81.80761,Male Prayer Room,room
room_ff_6,1,243.35828,108.2596,MYP 3 F,room
room_ff_7,1,256.77783,90.969032,MYP 3 E,room
room_ff_8,1,266.97153,107.61443,MYP 3 G,room
room_ff_9,1,266.45538,91.743233,Curriculum Planning Room (CPR),room
room_ff_10,1,289.2944,107.8725,MYP 3 C,room
corridor_ff_1,1,177.1638,77.936584,MYP 3 Corridor Exit,corridor
corridor_ff_2,1,208.64812,93.678741,MYP 3 Corridor MYP 4 A - MYP 3 D Junction,corridor
corridor_ff_3,1,229.93874,100.38852,MYP 3 Corridor Prayer Room - Stair Junction,corridor
corridor_ff_4,1,250.84225,100.90466,MYP 3 Corridor MYP3 E-F Junction,corridor
corridor_ff_5,1,285.55243,100.51756,MYP 3 Corridor MYP 3 G - CPR Junction,corridor
corridor_ff_6,1,310.45599,100.25948,MYP 3 Corridor Entrance,corridor
room_ff_11,1,161.03453,75.226868,MYP Coordinator's Office,room
room_ff_12,1,219.61601,105.54988,Washroom (MYP 3 Corridor),room
stair_ff_15,1,305.68173,64.129936,Staircase 15 (ALC - First Floor),stair
room_ff_13,1,318.97226,47.871647,Sewing Room,room
room_ff_14,1,340.39191,47.613579,Pottery Room,room
room_ff_15,1,363.48901,47.226475,Art Room (First Floor),room
room_ff_16,1,392.26361,47.484543,IT Services Room,room
room_ff_17,1,359.2309,92.001305,Budhayana Spark Lab,room
corridor_ff_7,1,312.26248,64.646072,BSL Corridor 1 Junction,corridor
corridor_ff_8,1,404.77991,64.904144,BSL Corridor 2 Junction,corridor
corridor_ff_9,1,359.10187,101.42079,BSL Corridor 3 Junction,corridor
corridor_ff_10,1,405.29605,100.13045,Grade 6 Corridor Entrance,corridor
room_ff_18,1,350.19852,109.0338,Assistant PYP Coordinator,room
room_ff_19,1,386.84418,107.8725,Grade 6 Supervisor's Office,room
room_ff_20,1,345.42426,130.58249,School Counselor's Office,room
room_ff_21,1,354.06952,131.09863,Examination Centre,room
room_ff_22,1,373.03754,108.38863,Female Washroom,room
room_ff_23,1,375.36014,129.55022,Male Washroom,room
corridor_ff_11,1,288.5202,100.51756,MYP 3 Corridor MYP 3 C Junction,corridor
room_ff_24,1,386.71515,130.71153,Exam Photocopy Room,room
corridor_ff_12,1,402.71536,136.38902,FF Mid Corridor Junction 2,corridor
corridor_ff_13,1,315.48834,137.29227,FF Mid Corridor Junction 1,corridor
corridor_ff_14,1,349.94043,137.03419,Mid Corridor Counselor-Exam Centre Junction,corridor
corridor_ff_15,1,384.26349,136.90517,Mid Corridor Washroom-Photocopy Junction,corridor
room_ff_25,1,322.19812,143.35687,Counsellor's Room,room
room_ff_26,1,394.8443,143.35687,Arabic and Islamic Education Supervisor's Office,room
room_ff_28,1,409.68323,163.22812,Female Prayer Room,room
corridor_ff_16,1,402.07022,163.74425,FF Corridor 2 Prayer Room Junction,corridor
room_ff_27,1,427.23184,93.033577,SOR 4,room
room_ff_29,1,414.58652,106.19505,SOR 3,room
room_ff_30,1,449.68378,91.872269,6 E,room
room_ff_31,1,437.42554,107.35636,6 F,room
room_ff_32,1,472.13571,93.033577,6 D,room
room_ff_33,1,459.87747,107.22733,6 C,room
room_ff_34,1,484.65201,86.839935,Female Prayer Room,room
room_ff_35,1,509.03946,102.32403,6 B,room
room_ff_36,1,510.3298,84.775391,6 A,room
room_ff_37,1,531.10431,74.323631,9 C,room
room_ff_38,1,529.16876,91.485168,9 D,room
room_ff_39,1,557.55627,76.517212,SOR 5,room
room_ff_40,1,498.58771,107.61443,Washroom (6th Grade Corridor),room
corridor_ff_17,1,421.94147,100.51756,6th Grade Corridor SOR 4-3 Junction,corridor
corridor_ff_18,1,441.68369,100.13045,6th Grade Corridor 6E-F Junction,corridor
corridor_ff_19,1,464.65173,100.51756,6th Grade Corridor 6D-C Junction,corridor
corridor_ff_20,1,489.03918,99.872383,6th Grade Corridor Prayer Room-Stairs Junction,corridor
corridor_ff_21,1,509.81366,93.291641,6th Grade Corridor 6A-B Junction,corridor
corridor_ff_22,1,528.13654,85.033463,6th Grade Corridor 9C-D Junction,corridor
corridor_ff_23,1,549.94324,70.710678,6th Grade Corridor Exit,corridor
lift_ff,1,301.6817,165.42169,Lift (First Floor),lift
corridor_ff_24,1,312.26248,229.55164,MYP 2 Corridor entrance,corridor
corridor_ff_25,1,311.8754,242.06795,FF Auditorium Junction 1,corridor
room_ff_43,1,284.13306,219.22891,MYP 3 B,room
room_ff_41,1,280.39105,235.87431,Mindspark Lab,room
room_ff_42,1,270.06833,219.87408,MYP 2 F,room
room_ff_44,1,258.84238,233.5517,MYP 3 A,room
room_ff_45,1,247.22931,220.64828,MYP 2 E,room
room_ff_46,1,247.74544,233.9388,7 E,room
room_ff_47,1,187.22845,233.80975,MYP 2 B,room
room_ff_48,1,193.68016,245.29379,MYP 2 D,room
room_ff_49,1,179.4864,236.90659,MYP 2 A,room
room_ff_50,1,187.7446,250.32613,MYP 2 C,room
